checking	Project_ID	First_Project_ID	Second_Project_ID	Original_Project_description	Curated_Project_description	has_it_been_collected	why_not_collect	Number_of_samples	Number_of_runs	Population	Related_Publications	isIndepthAnalzed
1	PRJEB15418	PRJEB15418	ERP017148	Autism Spectrum Disorders (ASDs) are neurodevelopmental disorders characterized by social and behavioural impairments. In addition to neurological symptoms, ASDs subjects frequently suffer from gastrointestinal abnormalities, thus implying a role of the gut microbiota in ASDs gastrointestinal physiology. Here we characterized the gut microbiota in a cohort of autistic individuals demonstrating the presence of an altered microbial community both at bacterial and fungal level. We observed a reduced incidence of Bacteroidetes in the ASDs group with Collinsella, Corynebacterium, Dorea, Haemophilus and Lactobacillus being the bacterial taxa characterizing the gut microbiota of the ASDs cohort. Furthermore constipation has been associated with different bacterial patterns in autistic and neurotypical subjects, with constipated autistic individuals characterized by high levels of putative pro-inflammatory bacterial taxa belonging to Escherichia/Shigella and Clostridium cluster XVIII. The finding that, besides the bacterial gut microbiota, also the gut mycobiota contribute to the intestinal dysbiosis associated with autism open the possibility for new potential interventions strategies aimed at the relief of gastrointestinal symptoms in ASDs which take into account also fungal component of the gut microbiota	NULL	Y		71	142	NULL	28222761	0
0	PRJEB16057	PRJEB16057	ERP017899	We evaluated whether the baseline intestinal microbiota (16S-rRNA) of hematopoietic stem cell transplant patients and donors are implicated in transplant outcomes--namely; acute gastrointestinal graft-versus-host disease (GVHD).	NULL	Y	NULL	79	158	NULL	28967895	0
0	PRJEB1690	PRJEB1690	ERP002391	Gut microbiomes of Korean Twin Pairs	NULL	Y	part phenotype data	36	36	Korean	NULL	0
1	PRJEB1775	PRJEB1775	ERP001956	Diagnostic Metagenomics: A Culture-Independent Approach to the Investigation of Bacterial Infections	NULL	Y		44	53	NULL	28934976	0
0	PRJEB17784	NULL	NULL	Parkinson’s disease (PD) presently is conceptualized as a protein aggregation disease in which pathology involves both, the enteric and the central nervous system, possibly spreading from one to another via the vagus nerves. As gastrointestinal dysfunction often precedes or parallels motor symptoms, the enteric system with its vast diversity of microorganisms may be involved in PD pathogenesis. Alterations in the enteric microbial taxonomic level of L-DOPA-naïve PD patients might also serve as a biomarker.We thus compared the fecal microbiomes of 31 early stage, L-DOPA-naive PD subjects to 28 age matched controls by metagenomic analysis.	L-DOPA-naïve PD patients; 364 runs from 59 samples.	Y		59	364	Germany	NULL	1
1	PRJEB1786	PRJEB1786	ERP002469	Type 2 diabetes (T2D) is a result of complex gene-environment interactions, and several risk factors have been identified, including age, family history, diet, sedentary lifestyle and obesity. Statistical models that combine known risk factors for T2D can partly identify individuals at high risk of developing the disease. However, these studies have so far indicated that human genetics contributes little to the models, whereas socio-demographic and environmental factors have greater influence. Recent evidence suggests the importance of the gut microbiota as an environmental factor, and an altered gut microbiota has been linked to metabolic diseases including obesity, diabetes and cardiovascular disease. Here we use shotgun sequencing to characterize the faecal metagenome of 145 European women with normal, impaired or diabetic glucose control. We observe compositional and functional alterations in the metagenomes of women with T2D, and develop a mathematical model based on metagenomic profiles that identified T2D with high accuracy. We applied this model to women with impaired glucose tolerance, and show that it can identify women who have a diabetes-like metabolism. Furthermore, glucose control and medication were unlikely to have major confounding effects. We also applied our model to a recently described Chinese cohort and show that the discriminant metagenomic markers for T2D differ between the European and Chinese cohorts. Therefore, metagenomic predictive tools for T2D should be specific for the age and geographical location of the populations studied.	NULL	Y		145	147	NULL	23719380	0
1	PRJEB19090	PRJEB19090	ERP021080	Gut microbiome research is rapidly moving towards the functional characterization of the microbiota by means of shotgun meta-omics. Here, we selected a cohort of healthy subjects from an indigenous and monitored Sardinian population to analyze their gut microbiota using both shotgun metagenomics and shotgun metaproteomics. We found a considerable divergence between genetic potential and functional activity of the human healthy gut microbiota, in spite of a quite comparable taxonomic structure revealed by the two approaches. Investigation of inter-individual variability of taxonomic features revealed Bacteroides and Akkermansia as remarkably conserved and variable in abundance within the population, respectively. Firmicutes-driven butyrogenesis (mainly due to Faecalibacterium spp.) was shown to be the functional activity with the higher expression rate and the lower inter-individual variability in the study cohort, highlighting the key importance of the biosynthesis of this microbial by-product for the gut homeostasis. The taxon-specific contribution to functional activities and metabolic tasks was also examined, giving insights into the peculiar role of several gut microbiota members in carbohydrate metabolism (including polysaccharide degradation, glycan transport, glycolysis and short-chain fatty acid production). In conclusion, our results provide useful indications regarding the main functions actively exerted by the gut microbiota members of a healthy human cohort, and support metaproteomics as a valuable approach to investigate the functional role of the gut microbiota in health and disease.	NULL	Y		15	38	Sardinian	28709472,27671352	0
0	PRJEB19103	PRJEB19103	ERP021093	Advento study is a research about chronic diseases that are frequent in adult population, specially diabetes and cardiovascular conditions.\n	NULL	N	No phenotype data.	268	268	NULL	NULL	0
1	PRJEB19367	PRJEB19367	ERP021378	Analysis of stool samples from sickle cell disease patients and healthy controls	NULL	Y		28	28	NULL	NULL	0
1	PRJEB2054	PRJEB2054	ERP000108	A human gut microbial gene catalog established by deep metagenomic sequencing	NULL	Y		123	246	NULL	20203603	0
